"N","Bubble","Selection","Insertion","Merge","Quick"
"100","0.000015","0.000007","0.000003","0.000005","0.000004"
"600","0.000386","0.000140","0.000111","0.000034","0.000026"
"1100","0.001087","0.000432","0.000270","0.000067","0.000052"
"1600","0.002346","0.000877","0.000600","0.000094","0.000077"
"2100","0.003775","0.001501","0.000894","0.000138","0.000102"
"2600","0.007825","0.002233","0.001488","0.000167","0.000130"
"3100","0.008198","0.003120","0.001949","0.000197","0.000157"
"3600","0.010916","0.004171","0.002678","0.000227","0.000187"
"4100","0.014071","0.007270","0.003407","0.000271","0.000214"
"4600","0.018020","0.006756","0.004336","0.000309","0.000243"
"5100","0.022141","0.008214","0.005273","0.000337","0.000273"
"5600","0.030255","0.009996","0.006300","0.000379","0.000303"
"6100","0.038887","0.011762","0.007695","0.000440","0.000333"
"6600","0.034909","0.013654","0.008732","0.000436","0.000366"
"7100","0.040788","0.015718","0.010169","0.000477","0.000379"
"7600","0.062681","0.018110","0.011857","0.000515","0.000429"
"8100","0.056943","0.020658","0.013194","0.000538","0.000434"
"8600","0.074879","0.022833","0.015110","0.000619","0.000492"
"9100","0.083804","0.025344","0.016584","0.000627","0.000544"
"9600","0.073553","0.029605","0.019164","0.000668","0.000541"
"10100","0.105346","0.030751","0.020238","0.000674","0.000566"
"10600","0.114744","0.034291","0.023236","0.000723","0.000598"
"11100","0.125358","0.038438","0.025057","0.000764","0.000627"
"11600","0.141077","0.041696","0.028551","0.000820","0.000669"
"12100","0.149326","0.045048","0.030034","0.000886","0.000710"
"12600","0.164834","0.048806","0.032354","0.000935","0.000757"
"13100","0.145382","0.052629","0.034922","0.000943","0.000754"
"13600","0.191574","0.056456","0.037053","0.001009","0.000794"
"14100","0.214349","0.060619","0.040171","0.001055","0.000843"
"14600","0.175017","0.065289","0.043649","0.001065","0.000872"
"15100","0.189297","0.069590","0.046134","0.001096","0.000895"
"15600","0.217459","0.079659","0.049959","0.001155","0.000959"
"16100","0.218844","0.080204","0.054089","0.001150","0.000926"
"16600","0.254185","0.085857","0.055313","0.001223","0.001232"
"17100","0.247137","0.088953","0.060813","0.001201","0.001013"
"17600","0.320763","0.094365","0.062509","0.001282","0.001040"
"18100","0.346855","0.101485","0.066063","0.001290","0.001082"
"18600","0.300847","0.104980","0.068838","0.001350","0.001114"
